dma_name,dma_id,term,week,score,rank,refresh_date
Portland-Auburn ME,500,Ariana Grande,9/23/2018,38,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/7/2018,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/21/2018,37,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/4/2018,94,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/18/2018,27,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/2/2018,61,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/23/2018,32,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/30/2018,26,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/6/2019,24,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/13/2019,41,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/27/2019,46,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/10/2019,75,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/17/2019,43,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/24/2019,38,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/3/2019,28,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/10/2019,31,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/24/2019,19,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/21/2019,19,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/28/2019,34,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/5/2019,14,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/12/2019,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/26/2019,17,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/2/2019,17,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/7/2019,21,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/11/2019,24,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/18/2019,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/25/2019,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/1/2019,18,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/8/2019,12,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/15/2019,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/6/2019,14,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/13/2019,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/20/2019,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/10/2019,17,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/1/2019,6,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/8/2019,23,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/22/2019,19,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/12/2020,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/9/2020,16,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/1/2020,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/22/2020,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/29/2020,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/5/2020,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/19/2020,17,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/3/2020,23,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/24/2020,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/14/2020,16,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/21/2020,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/12/2020,17,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,7/26/2020,14,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/16/2020,18,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/23/2020,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/6/2020,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/13/2020,14,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/20/2020,,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/4/2020,5,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/18/2020,17,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,12/20/2020,63,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/3/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/10/2021,16,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/24/2021,16,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/31/2021,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/14/2021,22,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/21/2021,5,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/7/2021,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/21/2021,18,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/28/2021,26,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/4/2021,18,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/18/2021,15,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/2/2021,11,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/23/2021,52,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,5/30/2021,24,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/6/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/27/2021,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/1/2021,23,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/8/2021,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/15/2021,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,8/22/2021,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/5/2021,9,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,9/19/2021,33,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/3/2021,32,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/10/2021,19,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/17/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,10/24/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/7/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/14/2021,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,11/28/2021,36,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/2/2022,20,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,1/9/2022,23,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,2/13/2022,21,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/6/2022,10,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,3/20/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/3/2022,8,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,4/10/2022,13,13,9/14/2023
Portland-Auburn ME,500,Ariana Grande,6/5/2022,7,13,9/14/2023
